timestamp,T1,T2,T3,fluid_in,fluid_out,P_in,P_out,heater_power,pump_power,time_only,fluid_in_C,fluid_out_C,Q_dot,efficiency,delta_p,delta_T
2024-01-01 12:00:00,0,0,0,0.73,0.68,0,0,10.5,0.0,12:00:00,17.94093126435655,23.200933436120863,-57.33402367223101,-5.460383206879144,0,-5.260002171764313
2024-01-01 12:00:01,146,146,146,0.733,0.683,146,140,10.55,0.0006000000000000001,12:00:01,17.61363746631116,22.893950832761732,-57.55541569431122,-5.455489639271206,6,-5.280313366450571
2024-01-01 12:00:02,204,204,204,0.736,0.686,204,200,10.6,0.0004,12:00:02,17.28474036612147,22.586047593366857,-57.784248776974735,-5.4513442242428995,4,-5.301307227245388
2024-01-01 12:00:03,292,292,292,0.739,0.689,292,290,10.65,0.0002,12:00:03,16.954188941502082,22.27718972413669,-58.02070853071723,-5.447953852649505,2,-5.323000782634608
2024-01-01 12:00:04,409,409,409,0.75,0.7,409,400,10.7,0.0009000000000000001,12:00:04,15.72714774967858,21.135974601936823,-58.95621268961486,-5.509926419590174,9,-5.408826852258244
2024-01-01 12:00:05,511,511,511,0.753,0.703,511,500,10.75,0.0011,12:00:05,15.388155844698986,20.82219065354127,-59.2309794163809,-5.509858550361014,11,-5.434034808842284
2024-01-01 12:00:06,613,613,613,0.76,0.71,613,600,10.8,0.0013000000000000002,12:00:06,14.589390892299093,20.085442644852264,-59.90696410282957,-5.5469411206323676,13,-5.496051752553171
2024-01-01 12:00:07,716,716,716,0.763,0.713,716,710,10.85,0.0006000000000000001,12:00:07,14.243573576782865,19.7676320412873,-60.212237263098345,-5.5495149551242715,6,-5.524058464504435
2024-01-01 12:00:08,818,818,818,0.77,0.72,818,810,10.9,0.0008,12:00:08,13.42802941474389,19.020958030467284,-60.962921911385,-5.592928615723395,8,-5.592928615723395
2024-01-01 12:00:09,873,873,873,0.773,0.723,873,870,10.95,0.00030000000000000003,12:00:09,13.07463728923284,18.69865783167387,-61.30182391260723,-5.5983400833431265,3,-5.624020542441031
